source,target,done,0.759574071
Trade 10/12/2020 COL/NYI,Devon Toews,a,
Trade 10/12/2020 COL/NYI,JJ Moser,a,
Trade 10/12/2020 COL/NYI,Calle Odelius,a,
Trade 2/25/2007 ATL/STL,Mikael Backlund,a,
Trade 2/25/2007 ATL/STL,Glen Metropolit,a,
Trade 2/25/2007 ATL/STL,Brett Sonne,a,
Trade 2/25/2007 ATL/STL,Keith Tkachuk,a,
Trade 2/25/2007 ATL/STL,Zach Bogosian,a,
Trade 2/25/2007 ATL/STL,Philip McRae,a,
Trade 3/1/2025 FLA/CHI,Seth Jones,x,
Trade 3/1/2025 FLA/CHI,Spencer Knight,a,
Trade 3/1/2025 FLA/CHI,2026/2027 1st Round (FLA/CHI),x,
Trade 3/1/2025 FLA/CHI,2026 4th Round (FLA/CHI),x,
Trade ANA/BOS 3/19/2022,Nathan Gaucher,x,
Trade ANA/BOS 3/19/2022,Hampus Lindholm,x,
Trade ANA/BOS 3/19/2022,Urho Vaakanainen,a,
Trade ANA/BOS 3/19/2022,John Moore,a,
Trade ANA/BOS 3/19/2022,Damian Clara,x,
Trade ANA/BOS 3/19/2022,Linus Eriksson,a,
Trade ANA/BOS 3/19/2022,Kodie Curran,a,
Trade ANA/BUF 2/24/2019,Brandon Montour,a,
Trade ANA/BUF 2/24/2019,Brayden Tracey,a,
Trade ANA/BUF 2/24/2019,Brendan Guhle,a,
Trade ANA/BUF 2/29/2016,Rem Pitlick,x,
Trade ANA/BUF 2/29/2016,Jamie McGinn,x,
Trade ANA/BUF 8/18/2023,Ilya Lyubushkin,a,
Trade ANA/BUF 8/18/2023,Samuel Meloche,a,
Trade ANA/CAR 4/12/2021,Jani Hakanpaa,a,
Trade ANA/CAR 4/12/2021,Haydn Fleury,a,
Trade ANA/CAR 4/12/2021,Jakub Vondras,a,
Trade ANA/CBJ 3/2/2015,Kevin Stenlund,a,
Trade ANA/CBJ 3/2/2015,William Karlsson,a,
Trade ANA/CBJ 3/2/2015,Rene Bourque,a,
Trade ANA/CBJ 3/2/2015,James Wisniewski,a,
Trade ANA/CBJ 3/2/2015,Brent Gates,a,
Trade ANA/CHI 2/23/2023,Josiah Slavin,a,
Trade ANA/CHI 2/23/2023,Hunter Drew,a,
Trade ANA/DAL 2/24/2017,Henri Jokiharju,a,
Trade ANA/DAL 2/24/2017,Patrick Eaves,a,
Trade ANA/DAL 6/21/2003,Corey Perry,a,
Trade ANA/DAL 6/21/2003,Vojtech Polak,a,
Trade ANA/DAL 6/21/2003,BJ Crombeen,a,
Trade ANA/DET 7/3/2024,Robby Fabbri,x,
Trade ANA/DET 7/3/2024,Drew Schock,a,
Trade ANA/DET 7/3/2024,Gage Alexander,a,
Trade ANA/EDM  8/2/2007,Tyler Myers,a,
Trade ANA/EDM  8/2/2007,Justin Schultz,a,
Trade ANA/EDM  8/2/2007,Dustin Penner,a,
Trade ANA/EDM  8/2/2007,Kirill Petrov,A,
Trade ANA/EDM/TBL 3/6/2024,Adam Henrique,a,
Trade ANA/EDM/TBL 3/6/2024,Sam Carrick,a,
Trade ANA/EDM/TBL 3/6/2024,Ty Taylor,a,
Trade ANA/EDM/TBL 3/6/2024,William Nicholl,a,
Trade ANA/EDM/TBL 3/6/2024,Ben Danford,a,
Trade ANA/EDM/TBL 3/6/2024,Aiden Foster,a,
Trade ANA/EDM/TBL 3/6/2024,Emile Guite,a,
Trade ANA/LAK 6/20/2008,Tyler Myers,a,
Trade ANA/LAK 6/20/2008,Jake Gardiner,a,
Trade ANA/LAK 6/20/2008,Viktor Tikhonov,A,
Trade ANA/MIN 3/3/2023,Nikita Nesterenko,x,
Trade ANA/MIN 3/3/2023,John Klingberg,a,
Trade ANA/MIN 3/3/2023,Andrej Sustr,a,
Trade ANA/MIN 3/3/2023,Samuel Meloche,a,
Trade ANA/NSH 2/24/2020,Vyacheslav Buteyets,x,
Trade ANA/NSH 2/24/2020,Matt Irwin,a,
Trade ANA/NSH 2/24/2020,Korbinian Holzer,a,
Trade ANA/NYR 12/6/2024,Jacob Trouba,x,
Trade ANA/NYR 12/6/2024,Urho Vaakanainen,a,
Trade ANA/NYR 12/6/2024,Elijah Neuenschwander,a,
Trade ANA/NYR 6/12/2025,Carey Terrance,x,
Trade ANA/NYR 6/12/2025,Chris Kreider,a,
Trade ANA/NYR 6/12/2025,Artyom Gonchar,a,
Trade ANA/NYR 6/12/2025,Elijah Neuenschwander,a,
Trade ANA/PHI 6/23/2025,2026 4th Round,x,
Trade ANA/PHI 6/23/2025,Eric Nilson,x,
Trade ANA/PHI 6/23/2025,Ryan Poehling,x,
Trade ANA/PHI 6/23/2025,Trevor Zegras,x,
Trade ANA/SEA 7/2/2024,Brian Dumoulin,x,
Trade ANA/SEA 7/2/2024,2026 4th Round (ANA/SEA),x,
Trade ANA/SJS 1/22/2025,Pavol Regenda,x,
Trade ANA/SJS 1/22/2025,Justin Bailey,a,
Trade ANA/SJS 6/27/2023,Andrew Agozzino,a,
Trade ANA/SJS 6/27/2023,Andrej Sustr,a,
Trade ANA/TOR 3/15/2013,Ondrej Kase,A,
Trade ANA/TOR 3/15/2013,Ryan Lasch,a,
Trade ANA/TOR 3/15/2013,David Steckel,x,
Trade ANA/TOR 3/2/2015,Beck Malenstyn,a,
Trade ANA/TOR 3/2/2015,Korbinian Holzer,a,
Trade ANA/TOR 3/2/2015,Eric Brewer,a,
Trade ANA/TOR 6/24/2011,John Gibson,x,
Trade ANA/TOR 6/24/2011,Rickard Rakell,a,
Trade ANA/TOR 6/24/2011,Tyler Biggs,a,
Trade ANA/TOR 6/25/2011,Josh Manson,a,
Trade ANA/TOR 6/25/2011,Ryan Rupert,a,
Trade ANA/VAN 1/16/2019,Luke Schenn,a,
Trade ANA/VAN 1/16/2019,Michael Del Zotto,a,
Trade ANA/VAN 1/16/2019,Viktor Persson,a,
Trade ANA/VAN 6/27/2014,Nick Bonino,a,
Trade ANA/VAN 6/27/2014,Jared McCann,a,
Trade ANA/VAN 6/27/2014,Ryan Kesler,a,
Trade ANA/VAN 6/27/2014,Luca Sbisa,a,
Trade ANA/VAN 6/27/2014,Deven Sideroff,A,
Trade ANA/VAN 6/27/2014,Keegan Iverson,a,
Trade ARI/BOS 2/22/2022,Michael Callahan,x,
Trade ARI/BOS 2/22/2022,Bauer Berry,a,
Trade ARI/CAR 3/1/2023,Shayne Gostisbehere,a,
Trade ARI/CAR 3/1/2023,2026 3rd Round (ARI/CAR),a,
Trade ARI/CAR 5/3/2018,Jordan Martinook,a,
Trade ARI/CAR 5/3/2018,Ty Emberson,a,
Trade ARI/CAR 5/3/2018,Marcus Kruger,x,
Trade ARI/CAR 5/3/2018,Luke Henman,A,
Trade ARI/CGY 6/27/2015,Oliver Kylington,x,
Trade ARI/CGY 6/27/2015,Adin Hill,a,
Trade ARI/CGY 6/27/2015,Jens Looke,A,
Trade ARI/CHI 1/10/2018,Anthony Duclair,a,
Trade ARI/CHI 1/10/2018,Richard Panik,a,
Trade ARI/CHI 1/10/2018,Laurent Dauphin,a,
Trade ARI/CHI 1/10/2018,Adam Clendening,a,
Trade ARI/CHI 11/25/2018,Nick Schmaltz,a,
Trade ARI/CHI 11/25/2018,Dylan Strome,a,
Trade ARI/CHI 11/25/2018,Brendan Perlini,a,
Trade ARI/CHI 7/12/2018,MacKenzie Entwistle,x,
Trade ARI/CHI 7/12/2018,Vincent Hinostroza,x,
Trade ARI/CHI 7/12/2018,Nathan Legare,x,
Trade ARI/CHI 7/12/2018,Marian Hossa,x,
Trade ARI/CHI 7/12/2018,Marcus Kruger,x,
Trade ARI/CHI 7/12/2018,Frederick Dichow,x,
Trade ARI/CHI 7/12/2018,Andrew Campbell,x,
Trade ARI/CHI 7/12/2018,Jordan Maletta,x,
Trade ARI/CHI 7/12/2018,Jordan Oesterle,x,
Trade ARI/CHI 7/28/2022,Jeremy Langlois,x,
Trade ARI/CHI 7/28/2022,Jiri Felcman,x,
Trade ARI/COL 2/29/2016,Mikkel Boedker,x,
Trade ARI/COL 2/29/2016,Alex Tanguay,A,
Trade ARI/COL 2/29/2016,Conner Bleackley (2),A,
